Classifier,Accuracy,F1 Score,Recall,ROC-AUC
GradientBoosting,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9941041598427777
CatBoost,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9944317065181788
AdaBoost,0.956140350877193,0.9560357083576898,0.956140350877193,0.9934490664919751
ExtraTrees,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9909924664264659
QDA,0.9473684210526315,0.9468057045386604,0.9473684210526315,0.9849328529315428
LightGBM,0.9736842105263158,0.9737421322933159,0.9736842105263158,0.9941041598427776
KNeighbors,0.9210526315789473,0.9204425688233878,0.9210526315789473,0.9674091057975762
DecisionTree,0.9122807017543859,0.9126509455456824,0.9122807017543859,0.9112348509662629
XGBoost,0.9736842105263158,0.9737421322933159,0.9736842105263158,0.9931215198165738
Dummy,0.6228070175438597,0.4780464675201518,0.6228070175438597,0.5
SVM (Linear Kernel),0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9937766131673763
